month,평균_공포탐욕지수
2021-06,21.509999999999998
2021-07,10.76375
2021-08,20.934285714285718
2021-09,18.767777777777777
2021-10,16.13909090909091
2021-11,21.765
2021-12,9.205
2022-01,51.775
2022-02,11.19
2022-03,25.78333333333333
2022-04,18.39375
2022-05,6.605
2022-06,10.808333333333332
2022-07,20.165
2022-08,31.601428571428567
2022-09,12.592000000000002
2022-10,36.03
2022-11,33.791428571428575
2022-12,27.296153846153842
2023-01,8.901428571428571
2023-02,24.213333333333335
2023-03,48.075
2023-04,46.36333333333334
2023-05,19.169999999999998
2023-06,11.527500000000003
2023-07,17.825
2023-08,38.01333333333333
2023-09,15.1425
2023-10,4.62
2023-11,19.040000000000003
2023-12,18.17
2024-01,40.31
2024-02,22.55125
2024-03,19.297142857142855
2024-04,23.43148936170213
2024-05,16.687241379310347
2024-06,22.68
2024-07,15.42671428571429
2024-08,26.744615384615383
2024-09,15.171067961165047
2024-10,20.472500000000007
2024-11,18.5177358490566
2024-12,19.365797101449278
2025-01,17.82957746478872
2025-02,17.78735294117647
2025-03,20.914814814814818
