month,평균_공포탐욕지수,단기_이동평균,장기_이동평균
2021-06,21.509999999999998,,
2021-07,10.76375,,
2021-08,20.934285714285718,,
2021-09,18.767777777777777,,
2021-10,16.13909090909091,,
2021-11,21.765,,
2021-12,9.205,17.012129200164914,
2022-01,51.775,21.335700628736344,
2022-02,11.19,21.3965934858792,
2022-03,25.78333333333333,22.089314574314574,
2022-04,18.39375,22.035882034632035,
2022-05,6.605,20.673869047619046,
2022-06,10.808333333333332,19.108630952380953,
2022-07,20.165,20.67434523809524,
2022-08,31.601428571428567,17.79240646258503,
2022-09,12.592000000000002,17.992692176870747,
2022-10,36.03,19.45650170068027,
2022-11,33.791428571428575,21.656170068027212,
2022-12,27.296153846153842,24.612049188906333,
2023-01,8.901428571428571,24.339634222919937,
2023-02,24.213333333333335,24.91796755625327,
2023-03,48.075,27.271334903192045,
2023-04,46.36333333333334,32.09581109366824,
2023-05,19.169999999999998,29.687239665096808,
2023-06,11.527500000000003,26.50667844060701,
2023-07,17.825,25.15365646258503,
2023-08,38.01333333333333,29.3125,
2023-09,15.1425,28.01666666666667,
2023-10,4.62,21.808809523809522,
2023-11,19.040000000000003,17.90547619047619,21.93359202094202
2023-12,18.17,17.762619047619047,21.822258687608688
2024-01,40.31,21.874404761904763,22.80713368760869
2024-02,22.55125,22.549583333333338,22.861032497132495
2024-03,19.297142857142855,19.87584183673469,22.878677999778
2024-04,23.43148936170213,21.05998317412071,23.121757948198375
2024-05,16.687241379310347,22.783874799736477,22.952499327508722
2024-06,22.68,23.303874799736473,23.401665994175385
2024-07,15.42671428571429,22.9119768405528,22.19005647036586
2024-08,26.744615384615383,20.974064752640714,22.708543649853038
2024-09,15.171067961165047,19.919753032807154,22.354801470780767
2024-10,20.472500000000007,20.087661196072457,22.424093137447432
2024-11,18.5177358490566,19.385696408551667,22.82118433241599
2024-12,19.365797101449278,19.76834722600009,23.106433124686518
2025-01,17.82957746478872,19.075429720969904,23.02858570684614
2025-02,17.78735294117647,19.412663814607356,22.568116519171074
2025-03,20.914814814814818,18.579835161778707,22.8455436796649
