date,fear_ratio,neutral_ratio,greed_ratio
2025-02-16,0.2356,0.2709,0.4935
2025-02-01,0.12035384615384616,0.7332230769230771,0.14643846153846155
2025-02-15,0.0476,0.8767000000000001,0.07570000000000002
2025-02-05,0.11099230769230768,0.7328153846153846,0.15619999999999998
2025-02-13,0.04442,0.89612,0.05948
2025-02-06,0.09568636363636362,0.7138772727272729,0.19044545454545456
2025-01-09,0.04824545454545455,0.5335909090909091,0.4181545454545455
2025-02-12,0.06610000000000002,0.797335,0.136565
2025-03-03,0.11916666666666668,0.6912833333333334,0.18954166666666664
2025-02-22,0.12589999999999998,0.7934666666666667,0.08066666666666666
2025-01-14,0.0654875,0.7597875,0.1747125
2025-03-08,0.17643076923076922,0.6412538461538462,0.1823230769230769
2025-02-10,0.04703636363636365,0.824590909090909,0.12837272727272728
2025-02-28,0.1253642857142857,0.7128964285714287,0.1617357142857143
2025-01-18,0.10913333333333335,0.44083333333333335,0.45006666666666667
2025-02-03,0.1129392857142857,0.760225,0.12683571428571427
2025-01-28,0.12360340909090915,0.7097011363636366,0.1666954545454546
2024-12-30,0.1985,0.3127,0.4889
2025-03-07,0.09830526315789476,0.7818473684210527,0.11984736842105263
2025-01-17,0.10300000000000001,0.78725,0.1097
2025-03-12,0.03765,0.9063500000000001,0.056
2025-03-13,0.09581666666666666,0.6973333333333334,0.2068333333333333
2025-02-18,0.13287142857142856,0.7107714285714285,0.15637142857142858
2024-12-26,0.06093333333333334,0.7650666666666667,0.17396666666666669
,,0.1564,0.5913999999999999
2025-03-19,0.037110000000000004,0.9165099999999999,0.046400000000000004
2025-01-29,0.11484782608695657,0.70335,0.18180652173913042
2025-02-26,0.22725625,0.5034375,0.26929375
2025-02-21,0.2138,0.617575,0.168625
2025-02-08,0.157,0.64558,0.19744
2025-01-13,0.2404875,0.4759375,0.2835875
2025-03-10,0.11037777777777777,0.7622555555555556,0.12737777777777778
2025-03-14,0.1345111111111111,0.7453444444444446,0.12014444444444444
2025-01-10,0.10778888888888888,0.6662111111111111,0.22600000000000003
2024-12-31,0.02715,0.9368000000000001,0.03605
2025-02-27,0.14005405405405405,0.6756027027027027,0.1843405405405405
2025-01-26,0.10735,0.7124999999999999,0.1801
2025-02-25,0.13332666666666668,0.6878533333333334,0.17882000000000003
2025-01-08,0.08859166666666667,0.7724208333333333,0.13900416666666668
2025-03-04,0.12924897959183673,0.6869040816326532,0.1838428571428571
2025-02-04,0.11988823529411763,0.6448411764705881,0.23527647058823525
2025-03-06,0.1792933333333333,0.63334,0.18736
2025-03-01,0.09842999999999999,0.70624,0.19532999999999998
2025-01-12,0.0241,0.9411,0.0348
2025-03-21,0.08065,0.7252375,0.1941
2025-01-20,0.0927,0.8421,0.0652
2025-03-28,0.0506,0.67865,0.2708
2024-12-24,0.06601666666666667,0.8647166666666667,0.06924999999999999
2025-03-18,0.08486,0.8321,0.08306
2025-03-27,0.15605416666666672,0.6448749999999999,0.199075
2025-01-16,0.1183875,0.5963875000000001,0.28524999999999995
2024-12-27,0.09409999999999999,0.6912499999999999,0.21465
2025-01-22,0.19009999999999996,0.6994166666666667,0.11051666666666667
2024-12-21,0.1869,0.73465,0.07845
2025-01-30,0.11394,0.7420749999999999,0.14397749999999995
2025-03-17,0.11845999999999998,0.50444,0.3771
2024-12-25,0.030350000000000002,0.9556,0.01405
2025-03-25,0.08393333333333332,0.8054,0.11066666666666668
2025-01-05,0.0535,0.8329,0.1135
2025-03-15,0.12340000000000001,0.68735,0.18925
2025-01-31,0.11365882352941177,0.776035294117647,0.11030588235294117
2025-03-20,0.14262222222222226,0.6621222222222223,0.19524444444444444
2025-02-24,0.2724666666666667,0.3979,0.32963333333333333
2025-01-27,0.12329148936170214,0.7625659574468086,0.11415319148936172
2025-03-05,0.18238,0.6339049999999999,0.18371
2025-01-23,0.08493999999999999,0.75052,0.16455999999999998
2024-12-22,0.0411,0.8688,0.0901
2025-02-20,0.0873,0.7981333333333334,0.11456666666666666
2025-03-22,0.0703,0.8464,0.0833
2024-12-28,0.2875,0.34945000000000004,0.3631
2025-01-07,0.18755555555555556,0.6530999999999998,0.15934444444444446
2025-03-26,0.08376363636363636,0.7711909090909091,0.14505454545454546
2025-02-14,0.10396153846153845,0.7145923076923076,0.1814461538461538
2025-02-11,0.1042,0.7285428571428572,0.16725714285714285
2025-03-24,0.0444,0.9277500000000001,0.02785
2025-01-21,0.06235,0.89055,0.0471
2025-01-24,0.19462500000000002,0.6027750000000001,0.2026
2025-01-06,0.10255,0.68719,0.21025999999999997
2025-01-11,0.07762,0.8031599999999999,0.11918
2025-02-02,0.0542,0.826075,0.11967500000000002
2025-01-04,0.31443333333333334,0.40346666666666664,0.2821333333333333
2025-01-25,0.1664,0.6921,0.1415
2024-12-23,0.12215,0.6458499999999999,0.232
2025-02-19,0.030699999999999998,0.9387,0.0306
2025-03-11,0.18052500000000002,0.6371187500000001,0.18234999999999996
2025-02-07,0.18612777777777778,0.5177888888888889,0.29607222222222224
2025-01-15,0.10923000000000001,0.6474599999999999,0.24331000000000005
2025-01-03,0.07035,0.840975,0.08865
